pair_id,workload,source_corpus,source_pair_id,original_label,author_label,metadata
code-0046,code,sodd,SODD_train:363564,1,1,{}
code-0047,code,sodd,SODD_train:1524667,1,0,{}
code-0048,code,sodd,SODD_train:1367822,1,1,{}
code-0049,code,sodd,SODD_train:796917,0,0,{}
code-0050,code,sodd,SODD_train:1167568,0,0,{}
code-0051,code,sodd,SODD_train:209729,0,0,{}
code-0052,code,sodd,SODD_train:1878050,0,0,{}
code-0053,code,sodd,SODD_dev:97377,1,0,{}
code-0054,code,sodd,SODD_train:1234333,0,0,{}
code-0055,code,sodd,SODD_train:1754547,1,0,{}
code-0056,code,sodd,SODD_train:1494629,1,0,{}
code-0057,code,sodd,SODD_train:289018,1,1,{}
code-0058,code,sodd,SODD_train:1119872,0,0,{}
code-0059,code,sodd,SODD_train:1317604,0,0,{}
code-0060,code,sodd,SODD_train:46805,0,0,{}
code-0061,code,sodd,SODD_train:529392,0,0,{}
code-0062,code,sodd,SODD_train:1020351,1,0,{}
code-0063,code,sodd,SODD_train:386410,1,1,{}
code-0064,code,sodd,SODD_train:1281127,1,0,{}
code-0065,code,sodd,SODD_train:1942403,1,0,{}
code-0066,code,sodd,SODD_train:1126575,1,0,{}
code-0067,code,sodd,SODD_train:804505,0,0,{}
code-0068,code,sodd,SODD_train:709142,0,0,{}
code-0069,code,sodd,SODD_dev:64625,1,0,{}
code-0070,code,sodd,SODD_train:298118,0,0,{}
code-0071,code,sodd,SODD_train:1628652,1,0,{}
code-0072,code,sodd,SODD_train:400067,1,1,{}
code-0073,code,sodd,SODD_train:1931489,0,0,{}
code-0074,code,sodd,SODD_train:234604,0,0,{}
code-0075,code,sodd,SODD_train:895009,0,0,{}
code-0076,code,sodd,SODD_train:1422401,0,0,{}
code-0077,code,sodd,SODD_train:1850379,1,0,{}
code-0078,code,sodd,SODD_train:1598938,0,0,{}
code-0079,code,sodd,SODD_dev:65398,1,0,{}
code-0080,code,sodd,SODD_train:767210,0,0,{}
code-0081,code,sodd,SODD_train:641329,0,0,{}
code-0082,code,sodd,SODD_train:807503,1,1,{}
code-0083,code,sodd,SODD_train:1120302,0,0,{}
code-0084,code,sodd,SODD_train:1134466,0,0,{}
code-0085,code,sodd,SODD_train:1558959,1,0,{}
code-0086,code,sodd,SODD_dev:55886,0,0,{}
code-0087,code,sodd,SODD_train:628031,1,1,{}
code-0088,code,sodd,SODD_train:1448832,1,1,{}
code-0089,code,sodd,SODD_train:703190,0,0,{}
code-0090,code,sodd,SODD_train:1410713,0,0,{}
code-0091,code,sodd,SODD_train:67455,1,0,{}
code-0092,code,sodd,SODD_train:1105157,1,1,{}
code-0093,code,sodd,SODD_train:1848916,0,0,{}
code-0094,code,sodd,SODD_train:988265,1,1,{}
code-0095,code,sodd,SODD_train:1537840,0,0,{}
code-0096,code,sodd,SODD_train:516523,1,0,{}
code-0097,code,sodd,SODD_train:1296906,0,0,{}
code-0098,code,sodd,SODD_train:1626894,0,0,{}
code-0099,code,sodd,SODD_train:56387,1,0,{}
code-0100,code,sodd,SODD_train:445867,1,0,{}
code-0101,code,sodd,SODD_train:1305070,0,0,{}
code-0102,code,sodd,SODD_train:1383,0,0,{}
code-0103,code,sodd,SODD_train:1518177,1,0,{}
code-0104,code,sodd,SODD_train:1613261,0,0,{}
code-0105,code,sodd,SODD_train:1052196,1,0,{}
code-0106,code,sodd,SODD_train:442160,1,0,{}
code-0107,code,sodd,SODD_train:1736876,0,0,{}
code-0108,code,sodd,SODD_train:415885,1,0,{}
code-0109,code,sodd,SODD_train:757605,1,0,{}
code-0110,code,sodd,SODD_train:160901,1,1,{}
code-0111,code,sodd,SODD_train:1452865,1,0,{}
code-0112,code,sodd,SODD_train:1753383,1,0,{}
code-0113,code,sodd,SODD_train:518096,1,0,{}
code-0114,code,sodd,SODD_train:1803447,1,0,{}
code-0115,code,sodd,SODD_train:330000,1,0,{}
code-0116,code,sodd,SODD_train:1123934,1,0,{}
code-0117,code,sodd,SODD_train:1246146,1,0,{}
code-0118,code,sodd,SODD_train:557875,0,0,{}
code-0119,code,sodd,SODD_train:1056297,1,0,{}
code-0120,code,sodd,SODD_train:745487,1,0,{}
code-0121,code,sodd,SODD_train:1891682,0,0,{}
code-0122,code,sodd,SODD_train:1087533,0,0,{}
code-0123,code,sodd,SODD_train:166513,1,0,{}
code-0124,code,sodd,SODD_train:1243600,0,0,{}
code-0125,code,sodd,SODD_train:350539,1,0,{}
code-0126,code,sodd,SODD_train:1578528,0,0,{}
code-0127,code,sodd,SODD_train:770082,1,0,{}
code-0128,code,sodd,SODD_train:906301,1,0,{}
code-0129,code,sodd,SODD_dev:917,1,0,{}
code-0130,code,sodd,SODD_train:590663,0,0,{}
code-0131,code,sodd,SODD_dev:60777,0,0,{}
code-0132,code,sodd,SODD_train:1108960,0,0,{}
code-0133,code,sodd,SODD_train:1114228,1,0,{}
code-0134,code,sodd,SODD_train:1493633,1,0,{}
code-0135,code,sodd,SODD_train:1066828,0,0,{}
code-0136,code,sodd,SODD_train:1699003,0,0,{}
code-0137,code,sodd,SODD_train:840241,0,0,{}
code-0138,code,sodd,SODD_train:1572274,0,0,{}
code-0139,code,sodd,SODD_train:735258,0,0,{}
code-0140,code,sodd,SODD_train:502233,1,0,{}
code-0141,code,sodd,SODD_train:1184515,0,0,{}
code-0142,code,sodd,SODD_train:1192236,0,0,{}
code-0143,code,sodd,SODD_train:680275,0,0,{}
code-0144,code,sodd,SODD_train:1864724,1,0,{}
code-0145,code,sodd,SODD_train:1399112,1,0,{}
code-0146,code,sodd,SODD_train:1263473,1,1,{}
code-0147,code,sodd,SODD_train:1380891,1,0,{}
code-0148,code,sodd,SODD_train:1399980,0,0,{}
code-0149,code,sodd,SODD_train:1935917,1,0,{}
code-0150,code,sodd,SODD_train:1078929,0,0,{}
code-0151,code,sodd,SODD_train:379180,0,0,{}
code-0152,code,sodd,SODD_train:198281,0,0,{}
code-0153,code,sodd,SODD_train:1732794,1,0,{}
code-0154,code,sodd,SODD_train:783297,0,0,{}
code-0155,code,sodd,SODD_train:1751442,1,0,{}
code-0156,code,sodd,SODD_train:377186,0,0,{}
code-0157,code,sodd,SODD_train:169904,1,1,{}
code-0158,code,sodd,SODD_train:119559,0,0,{}
code-0159,code,sodd,SODD_train:59776,1,1,{}
code-0160,code,sodd,SODD_train:828825,1,0,{}
code-0161,code,sodd,SODD_train:612724,1,0,{}
code-0162,code,sodd,SODD_train:1912477,1,0,{}
code-0163,code,sodd,SODD_train:638180,1,0,{}
code-0164,code,sodd,SODD_train:797235,1,0,{}
code-0165,code,sodd,SODD_train:1832794,0,0,{}
code-0166,code,sodd,SODD_train:1799325,1,0,{}
code-0167,code,sodd,SODD_train:1281501,0,0,{}
code-0168,code,sodd,SODD_train:1127156,1,0,{}
code-0169,code,sodd,SODD_train:353399,0,0,{}
code-0170,code,sodd,SODD_train:903165,1,0,{}
code-0171,code,sodd,SODD_train:1388709,1,0,{}
code-0172,code,sodd,SODD_train:667403,1,0,{}
code-0173,code,sodd,SODD_dev:40650,0,0,{}
code-0174,code,sodd,SODD_train:300010,1,1,{}
code-0175,code,sodd,SODD_train:528012,1,0,{}
code-0176,code,sodd,SODD_train:1665310,0,0,{}
code-0177,code,sodd,SODD_train:630258,1,0,{}
code-0178,code,sodd,SODD_train:456081,0,0,{}
code-0179,code,sodd,SODD_train:775765,0,0,{}
code-0180,code,sodd,SODD_train:308291,0,0,{}
code-0181,code,sodd,SODD_train:961785,0,0,{}
code-0182,code,sodd,SODD_train:192197,1,0,{}
code-0183,code,sodd,SODD_train:526709,1,0,{}
code-0184,code,sodd,SODD_train:75550,1,1,{}
code-0185,code,sodd,SODD_train:1713227,1,1,{}
code-0186,code,sodd,SODD_train:1506540,1,0,{}
code-0187,code,sodd,SODD_train:617525,0,0,{}
code-0188,code,sodd,SODD_dev:5320,1,0,{}
code-0189,code,sodd,SODD_train:1091645,1,1,{}
code-0190,code,sodd,SODD_train:1073283,1,1,{}
code-0191,code,sodd,SODD_train:1501332,1,1,{}
code-0192,code,sodd,SODD_train:1630818,0,0,{}
code-0193,code,sodd,SODD_train:632566,0,0,{}
code-0194,code,sodd,SODD_train:1096632,0,0,{}
code-0195,code,sodd,SODD_train:1251233,0,0,{}
code-0196,code,sodd,SODD_train:1707123,1,0,{}
code-0197,code,sodd,SODD_train:968374,1,0,{}
code-0198,code,sodd,SODD_train:1465893,0,0,{}
code-0199,code,sodd,SODD_train:998204,1,0,{}
code-0200,code,sodd,SODD_train:656983,0,0,{}
code-0201,code,sodd,SODD_train:522151,0,0,{}
code-0202,code,sodd,SODD_train:479082,1,0,{}
code-0203,code,sodd,SODD_train:1254952,1,0,{}
code-0204,code,sodd,SODD_train:271589,0,0,{}
code-0205,code,sodd,SODD_train:273262,0,0,{}
code-0206,code,sodd,SODD_train:550869,1,0,{}
code-0207,code,sodd,SODD_train:1690414,0,0,{}
code-0208,code,sodd,SODD_train:851783,0,0,{}
code-0209,code,sodd,SODD_train:1208422,0,0,{}
code-0210,code,sodd,SODD_train:700239,1,0,{}
code-0211,code,sodd,SODD_train:84956,0,0,{}
code-0212,code,sodd,SODD_train:158,0,0,{}
code-0213,code,sodd,SODD_train:765416,1,0,{}
code-0214,code,sodd,SODD_train:1114646,0,0,{}
code-0215,code,sodd,SODD_dev:3014,0,0,{}
code-0216,code,sodd,SODD_train:512937,0,0,{}
code-0217,code,sodd,SODD_train:589674,0,0,{}
code-0218,code,sodd,SODD_train:77180,0,0,{}
code-0219,code,sodd,SODD_train:571707,0,0,{}
code-0220,code,sodd,SODD_train:1044277,0,0,{}
code-0221,code,sodd,SODD_train:1409465,1,0,{}
code-0222,code,sodd,SODD_dev:11052,0,0,{}
